País,Categoría,Nombre,Og_Resumida
Grecia,Premio,8th International Nikolaus-Fheodoroff-Composition-Prize,"Dirigido a compositores de cualquier nacionalidad y sin límite de edad, el 8th International Nikolaus-Fheodoroff-Composition-Prize invita a presentar una obra inédita e interpretativamente contemporánea para piano (1-2 intérpretes), percusión, acordeón y contrabajo, con la opción de incluir electrónica (playback o en vivo), de una duración entre 10 y 15 minutos; la convocatoria no requiere pago de inscripción y otorga un único premio de €15,000 al ganador, cuya obra será estrenada mundialmente en el Carinthian Summer Festival 2027; la participación está abierta a artistas de Latinoamérica y la información oficial confirma que no se contempla ninguna restricción geográfica ni costo asociado para participar."
Argentina,Fondos,Fondo Enlace Francia – Argentina 2025 | Orillas Nuevas,"Herramienta de apoyo económico diseñada para impulsar proyectos de las industrias culturales y creativas (ICC) de Argentina que tengan un vínculo con Francia, ya sea artístico, técnico-profesional o financiero. Se busca apoyar la finalización, mejora, reposición y circulación de hasta 25 proyectos —a realizarse entre noviembre de 2025 y junio de 2026— con subsidios de hasta 5.000 euros cada uno. La convocatoria está abierta a individuos, grupos, empresas y organizaciones sin fines de lucro de Argentina que trabajen en sectores como audiovisuales (animación y cine, con énfasis en gap financing), videojuegos, creación inmersiva, artes escénicas (danza, performance, teatro, circo contemporáneo), diseño, arquitectura, paisaje y edición. Solo abierta para personas radicadas en argentina."
Argentina,Premio,Premio Gubbio América Latina y el Caribe,"Destinado a individuos, organizaciones, instituciones y organizado por el Ministerio de Cultura de la Ciudad para difundir las mejores intervenciones y las buenas prácticas en el manejo de áreas patrimoniales de la región.
Para participar de la convocatoria se deberán enviar trabajos de buenas prácticas, modalidades de gestión y avances teóricos que presenten solución a las múltiples problemáticas que se plantean en materia de protección patrimonial y recalificación urbana en la región.
Este premio está enfocado en reconocer intervenciones de recuperación y regeneración del patrimonio edificado, intervenciones adecuadas de nueva arquitectura en paisajes históricos y/o iniciativas de gestión y de organización en el marco de estrategias de recalificación de ámbitos urbanos y/o territoriales."
Argentina,Fondos,Concurso Archivos Históricos de Empresas: Subsidios para la identificación de los archivos,"Dirigida a instituciones archivísticas, universidades, bibliotecas, organizaciones de la sociedad civil y personas físicas que custodien archivos históricos de empresas privadas, la oportunidad Concurso Archivos Históricos de Empresas: Subsidios para la identificación de los archivos financia proyectos breves (máximo dos meses) para la contratación de expertos en archivística, con un subsidio de hasta $2.000.000 para identificación y hasta $6.000.000 para organización y descripción, sin requerir pago de inscripción para participar. La convocatoria está abierta únicamente a proyectos dentro de Argentina, y no está destinada a artistas sino a profesionales vinculados a la gestión, preservación y puesta en valor de archivos históricos; no involucra disciplinas artísticas tradicionales y no está abierta para postulantes de Latinoamérica fuera de Argentina."
Francia,Convocatoria,Transforme,"Destinado a artistas emergentes y consagrados de Francia y de todo el mundo, de todas las disciplinas. Transforme promueve obras híbridas para la escena, con enfoques multidisciplinares y nuevas y originales formas de escritura, contenido y temas que conectan con los desafíos de la sociedad contemporánea. Este enfoque doble busca transformar las habilidades que sustentan las artes escénicas, a la vez que transforma la forma en que el público percibe el mundo. Los proyectos podrán presentarse en cualquier momento, a través de las páginas de convocatorias del sitio web. Si el proyecto lo propone una entidad o persona con sede fuera de Francia, deberá estar registrada como organización de interés público según la legislación de su país de residencia. "
EEUU,Oportunidad,GFX Challenge Grant Program,Destinado a fotógrafos y videógrafos aficionados y profesionales. Se ofrecen: Elegibilidad para artistas latinoamericanos no especificada
Estados Unidos,Fondos,History of Art Grants,"Dirigida a instituciones académicas y culturales con estatus 501(c)3 en Estados Unidos o que cuenten con un patrocinador fiscal estadounidense, la oportunidad History of Art Grants apoya proyectos que profundicen la apreciación y comprensión de obras de arte y arquitectura europeas desde la antigüedad hasta principios del siglo XIX, incluyendo investigaciones, publicaciones, exposiciones, conferencias y recursos digitales en historia del arte; no está dirigida directamente a artistas individuales. No se requiere pago de inscripción para participar. El monto máximo de financiamiento por proyecto es de hasta 30.000 USD. Las disciplinas involucradas son historia del arte, arquitectura, conservación y humanidades afines. Instituciones de Latinoamérica pueden aplicar si presentan un patrocinador fiscal estadounidense; la convocatoria está abierta hasta el 1 de septiembre de 2025."
Estados Unidos,Fondos,Conservation Grants,"Conservation Grants está dirigido a instituciones sin fines de lucro que cuenten con reconocimiento de exención fiscal del Servicio de Impuestos Internos de Estados Unidos, incluyendo aquellas extranjeras que hayan obtenido este status; no se otorgan fondos directamente a artistas individuales. El programa financia proyectos relacionados con la conservación de obras de arte europeas desde la antigüedad hasta principios del siglo XIX, abarcando disciplinas como la conservación, investigación técnica y científica, documentación, exposiciones y publicaciones sobre conservación. El monto máximo otorgado por proyecto es de 30.000 USD y no se requiere pago de inscripción para participar. La convocatoria está abierta a instituciones que cumplan los requisitos legales, por lo que pueden postular organizaciones de Latinoamérica si poseen el reconocimiento fiscal correspondiente, pero no está dirigida directamente a artistas, sino a equipos o individuos afiliados a dichas instituciones."
Estados Unidos,Beca,Digital Art History Grants,"Dirigida a instituciones con estatus de exención fiscal en Estados Unidos que desarrollen proyectos vinculados a la historia del arte digital, especialmente en el ámbito de la historia del arte europea; no está destinada a artistas individuales ni requiere pago de inscripción para participar. Las disciplinas involucradas incluyen historia del arte, digitalización de recursos visuales, publicación en línea y enfoques innovadores en investigación y enseñanza de arte digital. El monto máximo otorgado por proyecto es de hasta 30,000 USD. La convocatoria está abierta a instituciones internacionales siempre que cumplan con el requisito fiscal, por lo que los artistas o instituciones de Latinoamérica pueden participar si cuentan con dicho reconocimiento legal en EE.UU."
Suiza,Fondos,Performing Art Guest performances outside Switzerland Pro Helvetia,"Destinado a salas y festivales fuera de Suiza. Se ofrecen a partir de 50.000 francos suizos para gastos de viaje y transporte desde la sede de la empresa. En el caso de representaciones invitadas sin gastos de viaje (por ejemplo, producciones digitales o híbridas), la financiación puede cubrir parte de los gastos de realización. "
Suiza,Fondos,Music event outside Switzerland,"Destinado a festivales e instituciones organizadoras de eventos de importancia internacional que presenten músicos, bandas o conjuntos de Suiza; o conjuntos establecidos internacionalmente fuera de Suiza que interpreten obras de compositores de Suiza. Se ofrecen a partir de 50.000 francos suizos para gastos de viaje y transporte de los músicos de Suiza. En caso de que las obras de compositores contemporáneos de Suiza sean interpretados por músicos no suizos, es posible una contribución a los honorarios de composición y a los costes de interpretación. "
Suiza,Convocatoria,Event combining artistic disciplines,Destinado a instituciones organizadoras de eventos o festivales. Se ofrecen a partir de 50.000 francos suizos para gastos de viaje y transporte. La convocatoria cierra el 1 de Septiembre de 2025. 
Suiza,Fondos,Visual Arts event outside Switzerland,"Destinado a instituciones culturales de renombre, festivales o espacios artísticos establecidos con alcance internacional. Se ofrecen a partir de 50.000 francos suizos para gastos de transporte y seguro, alquiler de equipos, costes de materiales para obras de arte temporales, honorarios de artistas, gastos de viaje. "
Suiza,Fondos,Knowledge exchange outside Switzerland,"Destinado a instituciones culturales, festivales o espacios artísticos establecidos con alcance internacional. Se ofrecen a partir de 50.000 francos suizos para gastos de viaje para especialistas, artistas, fotógrafos y arquitectos. Abierta a artistas latinoamericanos"
Alemania,Beca,Study Visits for Academics - Artists and Architects,"Destinado a profesores universitarios de arquitectura, bellas artes, cine, diseño, comunicación visual, artes escénicas, música. Deben impartir clases en un centro de enseñanza superior del país de origen. Se ofrecen pagos mensuales de 2.000 euros para profesores auxiliares, profesores adjuntos y profesores titulares, y 2.150 euros para catedráticos. "
